StockTicker,Ric,CompanyName,Sector,Industry,BelongToIndex,ListedExchCode,EpsRegressGrowth_Reuters,EpsRegressGrowth_Reuters_Nasdaq,M1QEps,M2QEps,M3QEps,M4QEps,M5QEps,M6QEps,M7QEps,M8QEps,PEG_Reuters,PEG_Nasdaq,Pe,PEvsIndustry,PEvsSector,IndustryPe,SectorPe,5YrHighPe,Industry5YrHighPe,Sector5YrHighPe,5YrLowPe,Industry5YrLowPe,Sector5YrLowPe,ReturnOnEquity,IndustryReturnOnEquity,SectorReturnOnEquity,ReturnOnEquity5YrAvg,IndustryReturnOnEquity5YrAvg,SectorReturnOnEquity5YrAvg,PercentageHeldByInstitutions,Source,PercentageHeldByInstitutions,NetSharesTradedByInstitutions,NetNumOfSharesTradedByInsidersIn3M,ClosePrice,52WkHigh,52WkLow,VolumeChange,Volume,AvgVolume,QuickRatio,IndustryQuickRatio,SectorQuickRatio,TotalDebtToEquity,IndustryTotalDebtToEquity,SectorTotalDebtToEquity,InterestCoverage,IndustryInterestCoverage,SectorInterestCoverage
HCSG,HCSG.OQ,"Healthcare Services Group Inc ",Industrials,"Business Support Services",.IXIC,IXIC,1.09761904762,10.91,0.331,0.315,0.304,0.298,0.276,0.268,0.256,0.26,32.889370932726344,3.308890925756187,36.1,0.1221635063723967,0.564802774165583,32.17,23.07,100.99,32.32,41.83,37.19,16.81,14.37,25.1,13.32,13.95,19.66,13.44,10.81,99.6,Nasdaq,0.9982507472056555,-1030253,208,45.03,56.2,41.05,0.6567,495988,299385,2.63,1.42,1.74,8.85,67.04,92.81,0,24.02,52.84
FTV,FTV.N,"Fortive Corp ",Technology,"Semiconductor Equipment & Testing",.SPX,NYSE,2.29047619048,8,0.753,0.759,0.682,0.568,0.643,0.65,0.692,0.529,11.691891891872446,3.3475,26.78,0.2543325526932083,1.0442748091603056,21.35,13.1,26.18,97.08,25.54,21.35,15.9,9.78,30.09,25.1,18.13,0,8.9,13.51,83.11,Nasdaq,0.8049349427638838,-628542,196967,73.99,78.78,57.83,0.0793,433017,401217,1.47,1.95,1.74,107.02,5.02,17.21,25.43,18.71,8.98
AWK,AWK.N,"American Water Works Company Inc ",Utilities,"Water Utilities",.SPX,NYSE,3.7523809523800002,7.57,0.697,1.134,0.732,0.52,0.564,0.831,0.77,0.458,6.819670050763151,3.380449141347424,25.59,0.5651376146788989,0.18747099767981434,16.35,21.55,29.72,22.77,27.32,20.41,14,9.4,10.39,13.15,7.73,9.25,14.08,16.34,87.73,Nasdaq,0.8515322539092254,448381,47692,78.88,92.37,74.63,0.3988,476631,340738,0.29,1.24,2.11,143.45,99.41,104.27,3.29,7.26,8
LNT,LNT.N,"Alliant Energy Corp ",Utilities,"Electric Utilities",.SPX,NYSE,1.5714285714299998,5.45,0.406,0.731,0.412,0.435,0.277,0.567,0.372,0.43,12.262727272716125,3.5357798165137613,19.27,0.46317388003037196,-0.10580046403712307,13.17,21.55,23.02,39.9,27.32,15.7,7.17,9.4,11.33,10.3,7.73,10.91,9.14,16.34,73.91,Nasdaq,0.7238910466985944,-378297,43136,38.22,45.54,36.84,0.3151,711999,541405,0.32,1.25,2.11,120.52,142.88,104.27,6.66,7.98,8
AMT,AMT.N,"American Tower Corp ",Financials,"Specialized REITs",.SPX,NYSE,2.38214285714,13.38,0.507,0.689,0.8,0.672,0.471,0.553,0.375,0.58,21.405097451300037,3.810911808669656,50.99,0.2020273455917021,1.480058365758755,42.42,20.56,68.94,106.13,23.28,49.37,30.32,11.38,17.43,12.96,15.6,15.23,10.77,18.87,91.54,Nasdaq,0.9487857716421838,814852,5503,134,155.27,112.78,0.1399,626067,549225,0,0.07,0.04,323.72,121.99,57.27,2.67,2.68,4.05
GOLD,GOLD.OQ,"Randgold Resources Ltd ","Basic Materials",Gold,.IXIC,IXIC,2.4250000000000003,6.64,0.802,0.518,0.893,0.743,0.798,0.699,0.524,0.582,11.41443298969072,4.168674698795181,27.68,26.68,0.1977498918217222,1,23.11,33.46,313.45,147.56,21.06,4.96,14.09,7.72,344.83,23.19,7.71,3.55,10.97,37.88,Nasdaq,0.3544357946022999,314167,0,81.83,108.26,79.2,0.1561,250429,216609,4.52,1.59,2.04,0.07,84.85,26.62,0,-1.97,27.81
TJX,TJX.N,"TJX Companies Inc ",,"Discount Stores",.SPX,NYSE,0.817857142857,4.34,1,0.853,0.819,1.031,0.831,0.843,0.758,0.988,23.69606986899977,4.465437788018433,19.38,-0.4445399828030955,-0.00257334019557387,34.89,19.43,21.47,39,36.51,18.23,19.87,13.14,57.58,19.21,-33.18,53.91,18.06,14.95,93.49,Nasdaq,0.910655845377928,-3324597,0,83.65,84.75,66.45,0.4250,1543329,1083045,0.84,0.6,1.21,43.33,63.5,66.81,141.28,223.83,8.58
SNH,SNH.OQ,"Senior Housing Properties Trust ",Financials,"Diversified REITs",.IXIC,IXIC,0.8309523809520001,3.88,0.274,0.145,0.068,0.135,0.181,0.118,0.165,0.132,29.893409742134047,6.402061855670103,24.84,0.3059936908517351,0.20817120622568108,19.02,20.56,31.8,31.25,23.28,22.44,11.67,11.38,4.68,6.15,15.6,5.01,3.81,18.87,76.14,Nasdaq,0.7405678702184068,-334446,0,15.37,22.52,14.9,0.6453,652759,396746,0,0.03,0.04,118.34,92.52,57.27,1.96,5.13,4.05
CTBI,CTBI.OQ,"Community Trust Bancorp Inc ",Financials,Banks,.IXIC,IXIC,0.703571428571,2.38,0.685,0.78,0.654,0.639,0.673,0.701,0.659,0.662,22.485279187830958,6.647058823529412,15.82,-0.2226044226044226,-0.23054474708171202,20.35,20.56,18.4,20.32,23.28,13.16,11.29,11.38,9.44,16.23,15.6,10.03,19.76,18.87,58.15,Nasdaq,0.5665590911659979,112696,9437,44.3,51.85,40.4,0.6129,25690,15928,0,0,0.04,58.5,54.5,57.27,0,0,4.05
ROIC,ROIC.OQ,"Retail Opportunity Investments Corp ",Financials,"Commercial REITs",.IXIC,IXIC,0.196428571429,5,0.087,0.075,0.068,0.083,0.079,0.061,0.068,0.072,283.7163636357446,11.145999999999999,55.73,0.769768180374722,1.710603112840467,31.49,20.56,75.75,39.28,23.28,30.2,20.09,11.38,3.19,6.99,15.6,3.19,5.39,18.87,0,Nasdaq,1.0108925088854461,-588714,46602,17.61,22.06,16.21,0.0136,344052,339422,0,0.01,0.04,123.52,126.79,57.27,1.91,6.05,4.05
GLPI,GLPI.OQ,"Gaming and Leisure Properties Inc ",Financials,"Specialized REITs",.IXIC,IXIC,1.8190476190499998,1.64,0.442,0.451,0.454,0.444,0.45,0.43,0.391,0.276,10.071204188468494,11.170731707317074,18.32,-0.5681282413955682,-0.1089494163424124,42.42,20.56,392.84,106.13,23.28,19.16,30.32,11.38,15.61,12.96,15.6,27.22,10.77,18.87,97.9,Nasdaq,0.9467897087294269,1564157,328598,32.82,39.32,30.23,0.2885,418037,324425,0,0.07,0.04,180.73,121.99,57.27,2.62,2.68,4.05
HII,HII.N,"Huntington Ingalls Industries Inc ",Industrials,AERO/DEF,.SPX,NYSE,2.28333333333,1.52,2.637,3.275,3.21,2.565,4.227,2.267,2.8,2.869,9.775182481766096,14.68421052631579,22.32,-0.4885426214482127,-0.032509752925877766,43.64,23.07,20.18,34.97,41.83,15.17,14.59,14.37,31.37,182.3,13.95,29.15,29.17,10.81,88.35,Nasdaq,0.8474996204170946,336912,57064,260.85,276.5,183.49,0.0194,141223,138532,1.45,0.72,1.74,72.75,342.57,92.81,12.53,208.81,52.84
UHAL,UHAL.OQ,"Amerco ",Industrials,"Ground Freight & Logistics",.IXIC,IXIC,38.938095238100004,0.75,9.684,6.363,6.443,0.487,3.33,9.01,7.514,2.683,0.37546777546772947,19.493333333333332,14.62,-0.4035087719298246,-0.3662765496315562,24.51,23.07,18.66,25.34,41.83,12.41,13.9,14.37,14.11,11.03,13.95,19.53,10.75,10.81,35.31,Nasdaq,0.3578018665850673,734469,800,331.17,399.99,331.17,0.6580,48653,29344,0,0.88,1.74,102.37,32.75,92.81,7.33,49.31,52.84
UDR,UDR.N,"UDR Inc ",Financials,"Residential REITs",.SPX,NYSE,0.441666666667,5.29,0.096,0.057,0.034,0.085,0.134,0.097,0.036,0.024,277.109433962055,23.13610586011342,122.39,1.9851219512195124,4.952821011673152,41,20.56,1111.43,74.25,23.28,116.6,22.98,11.38,2.52,5.52,15.6,1.7,5.2,18.87,99.61,Nasdaq,0.9687388126491647,-176823,115274,33.38,40.71,32.88,0.0075,524243,520355,0,0,0.04,129.93,100.82,57.27,2.55,4.73,4.05
