StockTicker,Ric,CompanyName,Sector,Industry,BelongToIndex,ListedExchCode,EpsRegressGrowth_Reuters,EpsRegressGrowth_Reuters_Nasdaq,M1QEps,M2QEps,M3QEps,M4QEps,M5QEps,M6QEps,M7QEps,M8QEps,PEG_Reuters,PEG_Nasdaq,Pe,PEvsIndustry,PEvsSector,IndustryPe,SectorPe,5YrHighPe,Industry5YrHighPe,Sector5YrHighPe,5YrLowPe,Industry5YrLowPe,Sector5YrLowPe,ReturnOnEquity,IndustryReturnOnEquity,SectorReturnOnEquity,ReturnOnEquity5YrAvg,IndustryReturnOnEquity5YrAvg,SectorReturnOnEquity5YrAvg,PercentageHeldByInstitutions,Source,PercentageHeldByInstitutions,NetSharesTradedByInstitutions,NetNumOfSharesTradedByInsidersIn3M,ClosePrice,52WkHigh,52WkLow,VolumeChange,Volume,AvgVolume,QuickRatio,IndustryQuickRatio,SectorQuickRatio,TotalDebtToEquity,IndustryTotalDebtToEquity,SectorTotalDebtToEquity,InterestCoverage,IndustryInterestCoverage,SectorInterestCoverage
MLM,MLM.N,"Martin Marietta Materials Inc ","Basic Materials","Construction Materials",.SPX,NYSE,10.7095238095,24.41,1.868,2.393,2.247,0.668,1.55,2.493,1.905,0.7,2.6593152512286777,1.1667349446947972,28.48,0.0031701303275801784,0.23236694071830377,28.39,23.11,40.63,27.56,147.56,30.83,14.15,14.09,10.28,9.21,23.19,8.41,20.71,10.97,0,Nasdaq,1.0112660382465806,1241091,25588,204.31,244.27,191.32,0.4135,198830,140665,2.92,2.4,2.04,64.69,19.94,26.62,8.25,29.25,27.81
PFBC,PFBC.OQ,"Preferred Bank ",Financials,Banks,.IXIC,IXIC,5.8369047619,15.42,0.972,0.936,0.804,0.707,0.705,0.695,0.605,0.555,3.164348358150654,1.1977950713359273,18.47,-0.09238329238329246,-0.10165369649805445,20.35,20.56,20.47,20.32,23.28,14.1,11.29,11.38,15.19,16.23,15.6,12.38,19.76,18.87,74.77,Nasdaq,0.7455331944631098,200498,0,64.01,67.16,47,0.0807,37274,34492,0,0,0.04,27.87,54.5,57.27,0,0,4.05
UMPQ,UMPQ.OQ,"Umpqua Holdings Corp ",Financials,Banks,.IXIC,IXIC,0.26547619047599996,17.42,0.249,0.278,0.257,0.208,0.314,0.28,0.246,0.215,81.28789237673995,1.2388059701492535,21.58,0.06044226044226031,0.04961089494163429,20.35,20.56,22.02,20.32,23.28,15.82,11.29,11.38,5.52,16.23,15.6,5.69,19.76,18.87,96.15,Nasdaq,0.9199435776817174,2197127,152122,21.88,22.88,16.65,0.0302,509722,494779,0,0,0.04,36.72,54.5,57.27,0,0,4.05
BHBK,BHBK.OQ,"Blue Hills Bancorp Inc ",Financials,Banks,.IXIC,IXIC,1.8630952381,20.48,0.157,0.157,0.159,0.308,0.166,0.067,0.055,0.066,13.912332268335048,1.265625,25.92,0.2737100737100737,0.26070038910505855,20.35,20.56,54.63,20.32,23.28,25.91,11.29,11.38,4.84,16.23,15.6,2.29,19.76,18.87,52.19,Nasdaq,0.5184655384500689,49541,18900,20.25,22.05,16.4,0.0306,18612,18059,0,0,0.04,0,54.5,57.27,0,0,4.05
ASML,ASML.OQ,"ASML Holding NV ",Technology,"Semiconductor Equipment & Testing",.IXIC,IXIC,11.6761904762,24.12,1.495,1.29,1.078,1.046,1.22,0.93,0.83,0.461,2.729486133766126,1.3213101160862355,31.87,0.49274004683840733,1.432824427480916,21.35,13.1,32.75,97.08,25.54,25.49,15.9,9.78,20.67,25.1,18.13,17.97,8.9,13.51,17.1,Nasdaq,0.1694437942507382,-142004,0,193.57,208.55,119.83,0.2171,423495,347949,1.81,1.95,1.74,28.34,5.02,17.21,0,18.71,8.98
ABCB,ABCB.OQ,"Ameris Bancorp ",Financials,Banks,.IXIC,IXIC,1.79404761905,16.31,0.6,0.537,0.616,0.587,0.513,0.613,0.57,0.373,12.625082946234073,1.3887185775597792,22.65,0.11302211302211296,0.10165369649805456,20.35,20.56,28.12,20.32,23.28,17.52,11.29,11.38,11.98,16.23,15.6,10.95,19.76,18.87,84.02,Nasdaq,0.8496513657973195,414664,11853,54.05,56.85,41.2,0.1191,71712,64080,0,0,0.04,45.59,54.5,57.27,0,0,4.05
HBI,HBI.N,"HanesBrands Inc ",,"Apparel & Accessories",.SPX,NYSE,1.0369047619,9.88,0.199,0.552,0.468,0.195,0.408,0.452,0.335,0.206,13.636739380085588,1.4311740890688258,14.14,-0.6631729394949976,-0.27225939269171384,41.98,19.43,27.89,52.26,36.51,14.83,20.9,13.14,54.55,8.55,-33.18,37.63,22.41,14.95,0,Nasdaq,1.0175780070674516,1194182,53618,19.99,25.73,18.58,0.2076,1500858,1242811,0.85,0.88,1.21,577.6,20.62,66.81,4.78,14.16,8.58
IVZ,IVZ.N,"Invesco Ltd ",Financials,"Investment Management & Fund Operators",.SPX,NYSE,2.97976190476,9.23,0.676,0.652,0.584,0.52,0.554,0.584,0.538,0.395,4.446664003199007,1.4355362946912242,13.25,-0.6674196787148594,-0.355544747081712,39.84,20.56,18.64,172.15,23.28,14.74,14.33,11.38,12.3,11.52,15.6,11.54,10.8,18.87,89.96,Nasdaq,0.8242670822403647,-2725254,320848,32.21,38.43,29.39,0.0984,841525,766110,0,0.21,0.04,79.07,123.81,57.27,16.36,90.26,4.05
NCLH,NCLH.N,"Norwegian Cruise Line Holdings Ltd ",,"Hotels, Motels & Cruise Lines",.SPX,NYSE,4.88095238095,11.88,0.396,1.744,0.866,0.271,0.317,1.504,0.637,0.321,3.5280000000017204,1.4494949494949494,17.22,-0.7393673376721659,-0.11374163664436443,66.07,19.43,72.97,201.16,36.51,15.31,46.6,13.14,14.62,5.81,-33.18,12.29,2.74,14.95,96.22,Nasdaq,0.931762261493989,-1801867,26924,56.44,61.45,46.97,1.7923,1673015,599144,0.18,0.79,1.21,109.7,54.45,66.81,3.26,4.28,8.58
JEC,JEC.N,"Jacobs Engineering Group Inc ",Industrials,"Construction & Engineering",.SPX,NYSE,0.464285714286,17.59,0.249,0.777,0.735,0.411,0.497,0.244,0.569,0.54,59.532307692271054,1.57134735645253,27.64,0.01729849098270142,0.19809276116168184,27.17,23.07,29.85,37.55,41.83,15.57,10.88,14.37,5.32,7.45,13.95,7.31,6.61,10.81,84.03,Nasdaq,0.8360450550924324,1468449,3634,60.04,72.16,49.32,0.4615,437394,299279,0,0.9,1.74,44.19,36.73,92.81,94.56,17.25,52.84
